year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-6011,Executive Secretaries and Executive Administrative Assistants,470.0,23.61,49120.0,22.68,47170.0,28490.0,72710.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3840.0,14.41,29970.0,13.53,28140.0,18460.0,45290.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-9011,Computer Operators,50.0,18.07,37590.0,17.77,36960.0,21350.0,57980.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-9021,Data Entry Keyers,170.0,11.88,24710.0,11.23,23360.0,17920.0,33230.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-9061,"Office Clerks, General",5740.0,13.79,28690.0,12.73,26470.0,17840.0,43870.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",43-9199,"Office and Administrative Support Workers, All Other",40.0,16.85,35050.0,11.59,24100.0,18030.0,73090.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",10830.0,22.67,47150.0,20.74,43130.0,25380.0,75150.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-2011,Agricultural Inspectors,650.0,17.97,37380.0,15.41,32040.0,20630.0,59110.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-2021,Animal Breeders,770.0,22.45,46700.0,20.46,42570.0,19460.0,77070.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-2041,"Graders and Sorters, Agricultural Products",11370.0,10.4,21630.0,9.37,19490.0,17610.0,29010.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-2091,Agricultural Equipment Operators,16250.0,13.16,27370.0,12.35,25690.0,18720.0,38690.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",217620.0,10.35,21530.0,9.45,19650.0,18880.0,27030.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",13850.0,12.8,26630.0,11.66,24250.0,17820.0,38640.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-2099,"Agricultural Workers, All Other",550.0,15.38,32000.0,15.63,32510.0,17570.0,48070.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-4011,Forest and Conservation Workers,180.0,15.49,32220.0,15.76,32780.0,19900.0,45770.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-4021,Fallers,4550.0,20.35,42320.0,17.52,36440.0,21760.0,71390.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",45-4022,Logging Equipment Operators,22730.0,17.97,37380.0,17.68,36780.0,23190.0,51280.0
