year,region,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,US,19-1099,"Life Scientists, All Other",9070.0,38.4,79870.0,33.92,70550.0,43520.0,129350.0
2015,US,19-2011,Astronomers,1760.0,52.99,110220.0,50.05,104100.0,52460.0,166320.0
2015,US,19-2012,Physicists,15650.0,56.97,118500.0,53.65,111580.0,55610.0,185230.0
2015,US,19-2021,Atmospheric and Space Scientists,10370.0,43.37,90210.0,43.18,89820.0,50630.0,132180.0
2015,US,19-2031,Chemists,84720.0,37.43,77860.0,34.26,71260.0,41110.0,125450.0
2015,US,19-2032,Materials Scientists,6790.0,45.64,94940.0,43.75,91000.0,47740.0,149310.0
2015,US,19-2041,"Environmental Scientists and Specialists, Including Health",87250.0,35.55,73930.0,32.43,67460.0,40350.0,118070.0
2015,US,19-2042,"Geoscientists, Except Hydrologists and Geographers",31800.0,50.83,105720.0,43.13,89700.0,47250.0,
2015,US,19-2043,Hydrologists,6580.0,40.11,83440.0,38.24,79550.0,50410.0,120370.0
2015,US,19-2099,"Physical Scientists, All Other",21130.0,47.23,98240.0,46.7,97130.0,47620.0,153880.0
2015,US,19-3011,Economists,19090.0,52.51,109230.0,47.68,99180.0,52540.0,176960.0
2015,US,19-3022,Survey Researchers,13650.0,28.53,59340.0,25.92,53920.0,22300.0,99500.0
2015,US,19-3031,"Clinical, Counseling, and School Psychologists",105600.0,36.56,76040.0,33.93,70580.0,40920.0,116960.0
2015,US,19-3032,Industrial-Organizational Psychologists,990.0,44.38,92320.0,37.19,77350.0,52270.0,158990.0
2015,US,19-3039,"Psychologists, All Other",12400.0,44.73,93050.0,45.47,94590.0,42710.0,124720.0
2015,US,19-3041,Sociologists,2620.0,39.47,82100.0,35.46,73760.0,36200.0,145250.0
2015,US,19-3051,Urban and Regional Planners,35480.0,33.98,70680.0,32.8,68220.0,42940.0,102200.0
2015,US,19-3091,Anthropologists and Archeologists,6980.0,30.91,64290.0,29.43,61220.0,35440.0,97040.0
2015,US,19-3092,Geographers,1280.0,36.02,74920.0,35.7,74260.0,45450.0,102930.0
2015,US,19-3093,Historians,3010.0,29.38,61120.0,26.83,55800.0,27920.0,101880.0
2015,US,19-3094,Political Scientists,3910.0,49.62,103210.0,47.95,99730.0,47210.0,162500.0
2015,US,19-3099,"Social Scientists and Related Workers, All Other",34160.0,38.78,80650.0,36.72,76380.0,45390.0,118080.0
2015,US,19-4011,Agricultural and Food Science Technicians,20260.0,18.75,39000.0,17.54,36480.0,23450.0,58270.0
2015,US,19-4021,Biological Technicians,72900.0,21.75,45230.0,20.02,41650.0,26610.0,69180.0
2015,US,19-4031,Chemical Technicians,64770.0,23.43,48730.0,21.47,44660.0,27260.0,75230.0
